Category,Variable,Measure,Value,Group
Incident of NMSC in 2008,0,50-54,2.95,Male
Incident of NMSC in 2009,0.31,50-54,2.2,Male
Incident of NMSC in 2010,0,50-54,1.7,Male
Incident of NMSC in 2011,0,50-54,2.27,Male
Incident of NMSC in 2012,0.2,50-54,2.41,Male
Incident of NMSC in 2013,0.09,50-54,1.97,Male
Incident of NMSC in 2014,0,50-54,2.1,Male
Incident of NMSC in 2015,0.06,50-54,2.04,Male
Incident of NMSC in 2016,0.2,50-54,2.4,Male
Incident of NMSC in 2017,0,50-54,2.4,Male
Incident of NMSC in 2018,0.07,50-54,2.4,Male
Incident of NMSC in 2018,0-,50-54,50-54,Male
pop,173406,50-54,2061242,Male
case of NMSC in 2005,0,50-54,46.9963176,Male
pop,192243,50-54,2319331,Male
case of NMSC in 2006,0.9996636,50-54,60.0706729,Male
pop,214585,50-54,2371821,Male
case of NMSC in 2007,0,50-54,60.9557997,Male
pop,230304,50-54,2809713,Male
case of NMSC in 2008,0,50-54,82.8865335,Male
pop,327151,50-54,3370296,Male
case of NMSC in 2009,1.0141681,50-54,74.146512,Male
pop,553502,50-54,4719319,Male
case of NMSC in 2010,0,50-54,80.228423,Male
pop,684618,50-54,5282669,Male
case of NMSC in 2011,0,50-54,119.9165863,Male
pop,994252,50-54,6974532,Male
case of NMSC in 2012,1.988504,50-54,168.0862212,Male
pop,1120183,50-54,8125627,Male
case of NMSC in 2013,1.0081647,50-54,160.0748519,Male
pop,1492182,50-54,10614514,Male
case of NMSC in 2014,0,50-54,222.904794,Male
pop,1603833,50-54,12370248,Male
case of NMSC in 2015,0.9622998,50-54,252.3530592,Male
pop,2027078,50-54,14678137,Male
case of NMSC in 2016,4.054156,50-54,352.275288,Male
pop,2465356,50-54,16694834,Male
case of NMSC in 2017,0,50-54,400.676016,Male
pop,2831943,50-54,19869722,Male
case of NMSC in 2018,1.9823601,50-54,476.873328,Male
Incident of NMSC in 2005,0,55-59,3.35,Male
Incident of NMSC in 2006,0.52,55-59,2.99,Male
Incident of NMSC in 2007,0,55-59,3.73,Male
Incident of NMSC in 2008,0,55-59,3.85,Male
Incident of NMSC in 2009,0.31,55-59,2.91,Male
Incident of NMSC in 2010,0,55-59,3.34,Male
Incident of NMSC in 2011,0,55-59,3.26,Male
Incident of NMSC in 2012,0.2,55-59,3.22,Male
