Category,Variable,Measure,Value,Group
case of NMSC in 2009,0.9920672,25-29,21.722679,National
pop,1039937,25-29,10258234,National
case of NMSC in 2010,0,25-29,24.6197616,National
pop,1296974,25-29,11926174,National
case of NMSC in 2011,0,25-29,25.0449654,National
pop,1876699,25-29,16149358,National
case of NMSC in 2012,3.9410679,25-29,45.2182024,National
pop,2111613,25-29,18225832,National
case of NMSC in 2013,1.0558065,25-29,40.0968304,National
pop,2814044,25-29,23654798,National
case of NMSC in 2014,0,25-29,54.4060354,National
pop,3019983,25-29,26646434,National
case of NMSC in 2015,0.9059949,25-29,85.2685888,National
pop,3815719,25-29,30491843,National
case of NMSC in 2016,8.0130099,25-29,97.5738976,National
pop,4653648,25-29,33333111,National
case of NMSC in 2017,2.7921888,25-29,93.3327108,National
pop,5351889,25-29,38605303,National
case of NMSC in 2018,4.8167001,25-29,115.815909,National
Incident of NMSC in 2005,0,30-34,0.28,National
Incident of NMSC in 2006,0.27,30-34,0.14,National
Incident of NMSC in 2007,0,30-34,0.36,National
Incident of NMSC in 2008,0.23,30-34,0.52,National
Incident of NMSC in 2009,0.16,30-34,0.36,National
Incident of NMSC in 2010,0,30-34,0.4,National
Incident of NMSC in 2011,0,30-34,0.27,National
Incident of NMSC in 2012,0.21,30-34,0.41,National
Incident of NMSC in 2013,0.05,30-34,0.41,National
Incident of NMSC in 2014,0,30-34,0.34,National
Incident of NMSC in 2015,0.03,30-34,0.39,National
Incident of NMSC in 2016,0.21,30-34,0.42,National
Incident of NMSC in 2017,0.06,30-34,0.45,National
Incident of NMSC in 2018,0.09,30-34,0.44,National
Incident of NMSC in 2018,0-,30-34,30-34,National
pop,328711,30-34,4567224,National
case of NMSC in 2005,0,30-34,12.7882272,National
pop,366806,30-34,4914363,National
case of NMSC in 2006,0.9903762,30-34,6.8801082,National
pop,406298,30-34,4701146,National
case of NMSC in 2007,0,30-34,16.9241256,National
pop,435222,30-34,5029723,National
case of NMSC in 2008,1.0010106,30-34,26.1545596,National
pop,620042,30-34,6644560,National
case of NMSC in 2009,0.9920672,30-34,23.920416,National
pop,1039937,30-34,9674312,National
case of NMSC in 2010,0,30-34,38.697248,National
pop,1296974,30-34,11344972,National
case of NMSC in 2011,0,30-34,30.6314244,National
pop,1876699,30-34,15419192,National
case of NMSC in 2012,3.9410679,30-34,63.2186872,National
pop,2111613,30-34,17225402,National
case of NMSC in 2013,1.0558065,30-34,70.6241482,National
pop,2814044,30-34,21777508,National
case of NMSC in 2014,0,30-34,74.0435272,National
pop,3019983,30-34,24318007,National
case of NMSC in 2015,0.9059949,30-34,94.8402273,National
pop,3815719,30-34,27908572,National
case of NMSC in 2016,8.0130099,30-34,117.2160024,National
pop,4653648,30-34,31957806,National
case of NMSC in 2017,2.7921888,30-34,143.810127,National
pop,5351889,30-34,38663141,National
case of NMSC in 2018,4.8167001,30-34,170.1178204,National
Incident of NMSC in 2005,0,35-39,0.64,National
Incident of NMSC in 2006,0.27,35-39,0.7,National
Incident of NMSC in 2007,0,35-39,0.55,National
Incident of NMSC in 2008,0.23,35-39,0.68,National
Incident of NMSC in 2009,0.16,35-39,0.44,National
Incident of NMSC in 2010,0,35-39,0.5,National
Incident of NMSC in 2011,0,35-39,0.64,National
Incident of NMSC in 2012,0.21,35-39,0.49,National
Incident of NMSC in 2013,0.05,35-39,0.58,National
Incident of NMSC in 2014,0,35-39,0.57,National
Incident of NMSC in 2015,0.03,35-39,0.6,National
Incident of NMSC in 2016,0.21,35-39,0.49,National
Incident of NMSC in 2017,0.06,35-39,0.55,National
Incident of NMSC in 2018,0.09,35-39,0.58,National
Incident of NMSC in 2018,0-,35-39,35-39,National
pop,328711,35-39,4658126,National
case of NMSC in 2005,0,35-39,29.8120064,National
pop,366806,35-39,5312157,National
case of NMSC in 2006,0.9903762,35-39,37.185099,National
pop,406298,35-39,5301698,National
case of NMSC in 2007,0,35-39,29.159339,National
pop,435222,35-39,5757160,National
case of NMSC in 2008,1.0010106,35-39,39.148688,National
pop,620042,35-39,7331681,National
case of NMSC in 2009,0.9920672,35-39,32.2593964,National
pop,1039937,35-39,10695580,National
case of NMSC in 2010,0,35-39,53.4779,National
pop,1296974,35-39,12182268,National
case of NMSC in 2011,0,35-39,77.9665152,National
pop,1876699,35-39,15927097,National
case of NMSC in 2012,3.9410679,35-39,78.0427753,National
pop,2111613,35-39,17688823,National
case of NMSC in 2013,1.0558065,35-39,102.5951734,National
pop,2814044,35-39,22178903,National
case of NMSC in 2014,0,35-39,126.4197471,National
pop,3019983,35-39,23980557,National
case of NMSC in 2015,0.9059949,35-39,143.883342,National
pop,3815719,35-39,29065165,National
case of NMSC in 2016,8.0130099,35-39,142.4193085,National
pop,4653648,35-39,33496246,National
case of NMSC in 2017,2.7921888,35-39,184.229353,National
pop,5351889,35-39,39956042,National
case of NMSC in 2018,4.8167001,35-39,231.7450436,National
Incident of NMSC in 2005,0,40-44,1.06,National
Incident of NMSC in 2006,0.27,40-44,1.22,National
Incident of NMSC in 2007,0,40-44,1.03,National
Incident of NMSC in 2008,0.23,40-44,0.9,National
Incident of NMSC in 2009,0.16,40-44,0.72,National
Incident of NMSC in 2010,0,40-44,0.86,National
Incident of NMSC in 2011,0,40-44,0.83,National
Incident of NMSC in 2012,0.21,40-44,0.85,National
Incident of NMSC in 2013,0.05,40-44,0.98,National
Incident of NMSC in 2014,0,40-44,0.82,National
Incident of NMSC in 2015,0.03,40-44,0.93,National
Incident of NMSC in 2016,0.21,40-44,0.82,National
Incident of NMSC in 2017,0.06,40-44,0.85,National
Incident of NMSC in 2018,0.09,40-44,0.79,National
Incident of NMSC in 2018,0-,40-44,40-44,National
pop,328711,40-44,5008480,National
case of NMSC in 2005,0,40-44,53.089888,National
pop,366806,40-44,5491492,National
case of NMSC in 2006,0.9903762,40-44,66.9962024,National
pop,406298,40-44,5365826,National
case of NMSC in 2007,0,40-44,55.2680078,National
pop,435222,40-44,5652071,National
case of NMSC in 2008,1.0010106,40-44,50.868639,National
pop,620042,40-44,7196705,National
case of NMSC in 2009,0.9920672,40-44,51.816276,National
pop,1039937,40-44,10837964,National
case of NMSC in 2010,0,40-44,93.2064904,National
pop,1296974,40-44,12759799,National
case of NMSC in 2011,0,40-44,105.9063317,National
pop,1876699,40-44,17829944,National
case of NMSC in 2012,3.9410679,40-44,151.554524,National
pop,2111613,40-44,20262762,National
case of NMSC in 2013,1.0558065,40-44,198.5750676,National
pop,2814044,40-44,25154963,National
case of NMSC in 2014,0,40-44,206.2706966,National
pop,3019983,40-44,27069161,National
case of NMSC in 2015,0.9059949,40-44,251.7431973,National
pop,3815719,40-44,31514690,National
case of NMSC in 2016,8.0130099,40-44,258.420458,National
pop,4653648,40-44,35065408,National
case of NMSC in 2017,2.7921888,40-44,298.055968,National
pop,5351889,40-44,41246056,National
case of NMSC in 2018,4.8167001,40-44,325.8438424,National
Incident of NMSC in 2005,0,45-49,1.45,National
Incident of NMSC in 2006,0.27,45-49,1.14,National
Incident of NMSC in 2007,0,45-49,1.44,National
Incident of NMSC in 2008,0.23,45-49,1.34,National
Incident of NMSC in 2009,0.16,45-49,1.1,National
Incident of NMSC in 2010,0,45-49,1.17,National
Incident of NMSC in 2011,0,45-49,1.19,National
Incident of NMSC in 2012,0.21,45-49,1.49,National
Incident of NMSC in 2013,0.05,45-49,1.16,National
Incident of NMSC in 2014,0,45-49,1.21,National
Incident of NMSC in 2015,0.03,45-49,1.31,National
Incident of NMSC in 2016,0.21,45-49,1.2,National
Incident of NMSC in 2017,0.06,45-49,1.34,National
Incident of NMSC in 2018,0.09,45-49,1.32,National
Incident of NMSC in 2018,0-,45-49,45-49,National
pop,328711,45-49,4842373,National
case of NMSC in 2005,0,45-49,70.2144085,National
pop,366806,45-49,5098023,National
