Category,Variable,Measure,Value,Group
case of NMSC in 2010,0,40-44,63.1345008,Urban
pop,688959,40-44,7568451,Urban
case of NMSC in 2011,0,40-44,62.0612982,Urban
pop,841767,40-44,8927869,Urban
case of NMSC in 2012,2.0202408,40-44,83.0291817,Urban
pop,923346,40-44,9907464,Urban
case of NMSC in 2013,1.0156806,40-44,101.0561328,Urban
pop,1275248,40-44,12519440,Urban
case of NMSC in 2014,0,40-44,121.438568,Urban
pop,1352817,40-44,12952773,Urban
case of NMSC in 2015,0,40-44,136.0041165,Urban
pop,1851490,40-44,15878586,Urban
case of NMSC in 2016,4.073278,40-44,139.7315568,Urban
pop,2253504,40-44,17062350,Urban
case of NMSC in 2017,0.9014016,40-44,163.79856,Urban
pop,2408681,40-44,18676972,Urban
case of NMSC in 2018,1.9269448,40-44,149.415776,Urban
Incident of NMSC in 2005,0,45-49,1.53,Urban
Incident of NMSC in 2006,0,45-49,1.24,Urban
Incident of NMSC in 2007,0,45-49,1.6,Urban
Incident of NMSC in 2008,0.31,45-49,1.42,Urban
Incident of NMSC in 2009,0.26,45-49,1.24,Urban
Incident of NMSC in 2010,0,45-49,1.23,Urban
Incident of NMSC in 2011,0,45-49,1.34,Urban
Incident of NMSC in 2012,0.24,45-49,1.59,Urban
Incident of NMSC in 2013,0.11,45-49,1.23,Urban
Incident of NMSC in 2014,0,45-49,1.3,Urban
Incident of NMSC in 2015,0,45-49,1.46,Urban
Incident of NMSC in 2016,0.22,45-49,1.22,Urban
Incident of NMSC in 2017,0.04,45-49,1.43,Urban
Incident of NMSC in 2018,0.08,45-49,1.37,Urban
Incident of NMSC in 2018,0-,45-49,45-49,Urban
pop,196647,45-49,3793112,Urban
case of NMSC in 2005,0,45-49,58.0346136,Urban
pop,246212,45-49,4123887,Urban
case of NMSC in 2006,0,45-49,51.1361988,Urban
pop,256582,45-49,3823936,Urban
case of NMSC in 2007,0,45-49,61.182976,Urban
pop,320424,45-49,4593490,Urban
case of NMSC in 2008,0.9933144,45-49,65.227558,Urban
pop,384131,45-49,5095806,Urban
case of NMSC in 2009,0.9987406,45-49,63.1879944,Urban
pop,595402,45-49,7063029,Urban
case of NMSC in 2010,0,45-49,86.8752567,Urban
pop,688959,45-49,7754987,Urban
case of NMSC in 2011,0,45-49,103.9168258,Urban
pop,841767,45-49,8809992,Urban
case of NMSC in 2012,2.0202408,45-49,140.0788728,Urban
pop,923346,45-49,9603439,Urban
case of NMSC in 2013,1.0156806,45-49,118.1222997,Urban
pop,1275248,45-49,12252736,Urban
case of NMSC in 2014,0,45-49,159.285568,Urban
pop,1352817,45-49,13175990,Urban
case of NMSC in 2015,0,45-49,192.369454,Urban
pop,1851490,45-49,17148615,Urban
case of NMSC in 2016,4.073278,45-49,209.213103,Urban
pop,2253504,45-49,19186102,Urban
case of NMSC in 2017,0.9014016,45-49,274.3612586,Urban
pop,2408681,45-49,21022330,Urban
case of NMSC in 2018,1.9269448,45-49,288.005921,Urban
Incident of NMSC in 2005,0,50-54,2.01,Urban
Incident of NMSC in 2006,0,50-54,2.02,Urban
Incident of NMSC in 2007,0,50-54,2.28,Urban
Incident of NMSC in 2008,0.31,50-54,2.43,Urban
Incident of NMSC in 2009,0.26,50-54,1.87,Urban
Incident of NMSC in 2010,0,50-54,1.95,Urban
Incident of NMSC in 2011,0,50-54,1.81,Urban
Incident of NMSC in 2012,0.24,50-54,2.38,Urban
Incident of NMSC in 2013,0.11,50-54,1.92,Urban
Incident of NMSC in 2014,0,50-54,2.24,Urban
Incident of NMSC in 2015,0,50-54,2.24,Urban
Incident of NMSC in 2016,0.22,50-54,2.7,Urban
Incident of NMSC in 2017,0.04,50-54,2.47,Urban
Incident of NMSC in 2018,0.08,50-54,2.14,Urban
Incident of NMSC in 2018,0-,50-54,50-54,Urban
pop,196647,50-54,3177116,Urban
case of NMSC in 2005,0,50-54,63.8600316,Urban
pop,246212,50-54,3754525,Urban
case of NMSC in 2006,0,50-54,75.841405,Urban
pop,256582,50-54,3730955,Urban
case of NMSC in 2007,0,50-54,85.065774,Urban
pop,320424,50-54,4562163,Urban
